Lan boc,Test Size,Rate,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,0.2,4,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,4,6,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.3,0.5196152422706632,0.33333333333333326,0.8,0.6000000000000001,"[[45  5]
 [ 7  3]]"
1,0.2,0.2,5,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,5,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,5,6,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,1,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.74,0.6,0.6663332499583072,0.41379310344827586,0.7166666666666667,0.6699999999999999,"[[37 13]
 [ 4  6]]"
1,0.2,0.2,1,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
1,0.2,0.2,1,6,distance_center_own_opposite_tam,func_own_opp_new_v2,0.74,0.6,0.6663332499583072,0.41379310344827586,0.7166666666666667,0.6699999999999999,"[[37 13]
 [ 4  6]]"
1,0.2,0.2,2,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
1,0.2,0.2,2,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
1,0.2,0.2,2,6,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,0.7,0.7,0.4375,0.7,0.7,"[[35 15]
 [ 3  7]]"
1,0.2,0.2,3,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
1,0.2,0.2,3,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,0.7,0.7,0.4375,0.7,0.7,"[[35 15]
 [ 3  7]]"
1,0.2,0.2,3,6,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,0.7,0.7,0.4375,0.7,0.7,"[[35 15]
 [ 3  7]]"
1,0.2,0.2,4,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.7,0.6899275324264136,0.42424242424242425,0.6833333333333333,0.69,"[[34 16]
 [ 3  7]]"
1,0.2,0.2,4,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.7,0.6899275324264136,0.42424242424242425,0.6833333333333333,0.69,"[[34 16]
 [ 3  7]]"
1,0.2,0.2,4,6,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
1,0.2,0.2,5,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.7,0.6899275324264136,0.42424242424242425,0.6833333333333333,0.69,"[[34 16]
 [ 3  7]]"
1,0.2,0.2,5,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.68,0.7,0.6899275324264136,0.42424242424242425,0.6833333333333333,0.69,"[[34 16]
 [ 3  7]]"
1,0.2,0.2,5,6,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.9,0.7707139547199078,0.5,0.7,0.7799999999999999,"[[33 17]
 [ 1  9]]"
